GROUP,Asymptote,Magnitude,Rate,MOGS,Retention
REST,4.174999966,0.000471105,9.126863653,0.484884254,2.355555556
REST,10.38493187,7.104449421,0.274739062,0.185471732,2.122222222
REST,7.161393094,9.772862122,0.779890702,0.420903721,0.677777778
REST,7.673969261,9.999995368,1.027344084,0.390025294,-0.366666667
REST,3.52390235,1.114201406,0.384824949,0.15532068,1.333333333
REST,9.533902232,7.854640456,0.153298662,0.976405052,1.466666667
REST,10.38465461,9.085818898,0.674640206,0.771520211,3.611111111
REST,3.272161688,3.612992777,0.218290764,0.311450105,-0.688888889
REST,8.999999737,3.559863358,0.025693643,0.7039525,2.755555556
REST,2.711024049,2.460283061,0.17243523,0.055436407,1.444444444
REST,10.64689461,4.039079307,0.080164926,0.733137984,2.566666667
REST,7.799999941,3.092053837,0.048433727,0.238821057,0.944444444
REST,10.39999991,6.48620247,0.038151627,-0.777720951,1.611111111
REST,5.508997593,4.994193022,0.474903628,0.106961005,1.511111111
REST,4.62555509,4.527497074,0.476679925,0.446617797,1.488888889
ENC,2.976151534,2.977284106,0.198725122,-1.468619129,0.155555556
ENC,6.399995037,2.44052191,0.029339885,-4.529305249,1
ENC,8.547293883,9.999999977,0.81546692,6.485186308,4.433333333
ENC,6.675000053,0.00909109,9.100229523,1.445984532,1.766666667
ENC,7.391666695,0.001075269,9.156164266,6.824777618,4.655555556
ENC,5.593171407,4.44934551,0.095129597,-1.516575327,-0.066666667
ENC,4.334768279,2.82795889,0.089696696,-5.785301037,-0.377777778
ENC,7.399999705,5.563568321,0.059368452,3.03267837,0.188888889
ENC,7.928762476,9.999996037,1.551184588,3.825980509,1.777777778
ENC,5.18356614,3.931044342,0.256671087,2.268368909,0.644444444
ENC,6.772823082,6.098370605,0.781462987,0.17573005,2.422222222
ENC,6.493847551,4.084020357,0.291584978,1.102994264,2.166666667
ENC,8.110230362,6.63241611,0.254384781,2.557294297,2.044444444
ENC,8.164316217,6.441791358,0.241198392,3.036118991,-0.044444444
ENC,8.740779935,5.791455496,0.489169068,4.433997086,1.633333333
SEM,5.708806798,2.562481986,0.068308541,0.262314169,1.177777778
SEM,8.130558459,9.999998709,0.686542908,0.212859964,1.8
SEM,6.076493092,9.999996493,1.63029222,0.025514242,1.555555556
SEM,8.267862709,5.649739866,0.40166739,3.451355521,1.111111111
SEM,6.99999978,4.952642314,0.065981384,1.523147825,0.188888889
SEM,7.022426041,9.999999786,1.134781674,2.015700365,1.633333333
SEM,10.02175264,9.999999993,0.38157565,-0.92581716,4.388888889
SEM,4.814646035,3.529692585,0.615304347,3.3027392,0.977777778
SEM,5.885766669,9.999995226,0.721375292,0.017237382,1.644444444
SEM,7.114924373,6.287157987,0.157755881,-2.143203586,1.1
SEM,8.760477803,3.60257679,0.059091272,2.916636866,1.388888889
SEM,6.400131258,6.767241962,0.296342388,0.517718515,0.855555556
SEM,4.256783549,3.166695088,0.357683599,0.381442406,2.155555556
SEM,4.591634972,4.218089564,0.159922355,0.012456265,0.3